,ZIPCODE,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Score
177,01077,7147,178,359,1605,1382,937,1378,1308,4.666013712047013
178,01079,515,0,0,150,160,11,150,44,4.5689320388349515
179,01080,1778,12,157,818,422,89,209,71,3.7480314960629917
180,01081,1344,19,60,535,276,180,169,105,4.090029761904761
181,01082,7714,194,492,2977,1426,883,1263,479,4.039279232564168
182,01083,2127,13,45,1090,291,240,373,75,3.9962388340385515
183,01084,129,0,3,40,4,3,33,46,5.248062015503876
184,01085,27357,1083,1476,7840,5217,2763,5816,3162,4.359688562342362
185,01086,0,0,0,0,0,0,0,0,
186,01088,309,0,23,76,39,54,85,32,4.640776699029127
187,01089,19716,877,1271,5058,3901,2120,3737,2752,4.386437411239602
188,01092,953,0,26,237,113,248,313,16,4.664218258132214
189,01093,205,0,3,37,26,14,77,48,5.31219512195122
190,01094,245,7,27,73,44,42,25,27,4.1020408163265305
191,01095,10832,255,399,2438,1685,1157,2846,2052,4.831240768094535
192,01096,1964,5,119,513,307,232,439,349,4.708248472505091
193,01097,24,0,6,10,0,5,3,0,3.541666666666667
194,01098,917,8,45,252,172,113,182,145,4.595419847328245
195,01103,1745,195,292,302,484,68,168,236,3.7942693409742123
196,01104,15009,1553,2243,5330,2613,1191,1352,727,3.44040242521154
197,01105,7547,1438,1115,2392,1256,407,505,434,3.176228965151716
198,01106,11109,196,252,1498,1219,650,3548,3746,5.475740390674227
199,01107,6229,1352,1218,1546,1114,306,452,241,3.0199068871407935
200,01108,17060,1742,2777,5061,2911,1430,1740,1399,3.605275498241501
201,01109,16280,1513,2160,5171,3569,1315,1692,860,3.5853194103194097
202,01118,10190,398,615,2842,1797,1211,1996,1331,4.38567222767419
203,01119,8534,423,629,3102,1816,742,1244,578,3.922076400281228
204,01128,2038,107,61,706,451,258,283,172,4.093719332679098
205,01129,4956,111,358,1486,1113,506,808,574,4.264124293785311
206,01151,5501,387,852,1954,995,502,639,172,3.5413561170696237
207,01199,0,0,0,0,0,0,0,0,
208,01201,32619,1057,2115,9820,6438,3767,5847,3575,4.2748398172844055
209,01220,6240,153,529,2471,1049,544,932,562,4.01698717948718
210,01222,620,8,95,283,72,53,71,38,3.696774193548387
211,01223,1944,28,94,592,385,216,309,320,4.478395061728396
212,01224,202,17,8,76,46,45,10,0,3.6138613861386144
213,01225,2457,34,120,846,568,275,398,216,4.216117216117215
214,01226,5261,16,206,1369,1239,583,1202,646,4.588481277323703
215,01229,70,16,0,19,14,6,9,6,3.642857142857143
216,01230,6147,134,280,1822,873,583,1086,1369,4.663413047014804
217,01235,2061,4,145,762,313,206,360,271,4.327510917030567
218,01236,843,16,56,153,177,41,203,197,4.860023724792408
219,01237,1896,12,69,491,290,203,483,348,4.8164556962025316
220,01238,4395,146,217,1189,1050,391,704,698,4.416837315130831
221,01240,3495,61,101,780,465,289,992,807,5.009728183118741
222,01242,332,2,0,80,39,30,128,53,5.08132530120482
223,01243,234,0,0,79,64,17,40,34,4.512820512820513
224,01244,64,9,0,30,13,0,9,3,3.53125
225,01245,692,45,10,115,95,48,210,169,5.01878612716763
226,01247,10588,536,1057,3807,1789,727,1639,1033,3.9598602191159804
227,01253,603,0,30,196,99,76,90,112,4.557213930348258
228,01254,865,6,30,171,114,119,213,212,5.077456647398844
229,01255,698,15,44,209,126,53,123,128,4.488538681948424
230,01256,531,25,59,203,99,39,71,35,3.792843691148776
231,01257,1618,10,39,558,290,125,294,302,4.588998763906057
232,01258,411,18,0,91,52,24,134,92,5.02919708029197
233,01259,488,0,52,113,49,40,106,128,4.858606557377049
234,01260,289,0,81,67,17,48,65,11,3.9377162629757785
235,01262,919,83,5,206,184,52,176,213,4.6289445048966265
236,01264,166,2,0,52,21,30,19,42,4.8192771084337345
237,01266,1085,7,29,213,194,93,271,278,5.0847926267281105
238,01267,4214,29,251,638,479,237,983,1597,5.368533459895586
239,01270,588,0,9,177,88,66,147,101,4.795918367346939
240,01301,13262,305,689,3726,2298,1786,2590,1868,4.493967727341276
241,01330,1081,5,21,300,165,103,247,240,4.888066604995375
242,01331,9736,233,735,3745,2016,1144,1314,549,3.9491577649958916
243,01337,1905,4,56,749,351,224,303,218,4.320734908136483
244,01338,101,0,4,17,9,34,12,25,5.069306930693069
245,01339,1099,16,54,364,216,62,229,158,4.43130118289354
246,01340,1321,30,86,448,240,126,208,183,4.288417865253596
247,01341,1365,0,18,207,185,119,356,480,5.485714285714286
248,01342,955,29,8,178,128,32,355,225,5.189528795811518
249,01343,38,2,7,15,4,6,0,4,3.5526315789473686
250,01344,1086,17,69,474,228,118,122,58,3.8830570902394106
251,01346,304,7,11,91,50,39,57,49,4.546052631578948
252,01347,111,0,7,46,35,0,23,0,3.8738738738738734
253,01349,873,26,46,367,206,63,103,62,3.9060710194730808
254,01350,66,0,1,38,15,7,4,1,3.666666666666667
255,01351,1688,62,8,531,234,251,337,265,4.584715639810426
256,01354,1290,3,25,336,193,118,348,267,4.945736434108527
257,01355,720,7,21,207,126,50,138,171,4.790277777777778
258,01360,2220,12,126,557,289,319,434,483,4.806756756756757
259,01364,5765,127,495,2341,1158,483,734,427,3.9167389418907197
260,01366,954,0,35,283,227,82,148,179,4.589098532494759
261,01367,400,3,33,129,81,22,73,59,4.3525
262,01368,954,36,37,379,223,92,93,94,3.99895178197065
263,01370,3155,166,149,686,495,319,816,524,4.646909667194929
264,01373,3547,5,140,580,700,459,779,884,5.069636312376656
265,01375,2575,34,100,533,415,166,456,871,5.109126213592233
266,01376,3926,180,286,1246,781,454,604,375,4.109271523178808
267,01378,600,17,31,165,132,46,137,72,4.430000000000001
268,01379,668,15,25,143,124,60,188,113,4.803892215568862
269,01420,26362,1660,2852,9089,4852,2366,3727,1816,3.829110082694788
270,01430,4176,30,89,1079,923,446,1152,457,4.6642720306513406
271,01431,2337,89,105,860,327,285,411,260,4.235344458707745
272,01432,5718,66,127,1464,978,449,1507,1127,4.861839804127317
273,01434,1575,23,33,467,437,131,284,200,4.442539682539682
274,01436,2189,56,210,665,424,352,370,112,4.079945180447693
275,01438,438,12,61,125,80,142,1,17,3.799086757990868
276,01440,14768,465,1216,5445,2946,1894,1798,1004,3.9478602383531967
277,01450,7760,84,130,1086,1049,274,3076,2061,5.418943298969072
278,01451,3161,26,40,234,278,109,1146,1328,5.8959190129705785
279,01452,3275,51,73,1030,671,395,637,418,4.486717557251908
280,01453,29249,1527,2527,8027,5665,2768,5838,2897,4.187117508290882
281,01460,7040,64,111,1438,1072,509,2021,1825,5.161079545454545
282,01462,7984,141,339,2314,1524,876,1571,1219,4.533567134268537
283,01463,8392,68,344,2106,1576,872,2138,1288,4.7166348903717825
284,01464,5962,220,537,2328,1016,319,1106,436,3.9625964441462598
285,01467,280,0,0,25,101,0,70,84,5.310714285714285
286,01468,3101,0,280,753,807,501,644,116,4.265720735246695
287,01469,5137,42,187,1525,1024,578,1158,623,4.532995912010901
288,01473,5522,86,228,1326,982,676,1419,805,4.704273813835567
289,01474,1340,0,101,423,256,87,280,193,4.4485074626865675
