ZIPCODE,STATE,2006_Score,2007_Score,2008_Score,2009_Score,2010_Score,2011_Score,2012_Score,2013_Score,2014_Score,2015_Score,2016_Score,2017_Score
57783,SD,2.124219090512858,2.1066876888713706,2.2106693363844396,2.1999429142286284,2.2622586470343102,2.285903550609433,2.336828309305374,2.404761904761905,2.4834437086092715,2.532818532818533,2.5405405405405403,2.5959079283887467
57785,SD,1.9711111111111113,1.9521635569670506,2.0712231807122317,2.094909007141212,2.120857269111798,2.1587053571428574,2.212253829321663,2.2538293216630194,2.328125,2.3719376391982183,2.3664459161147904,2.4141630901287554
57790,SD,1.9685534591194969,2.013657056145675,2.0715447154471547,2.095076400679117,2.117355371900826,2.197952218430034,2.2950819672131146,2.1967213114754096,2.3,2.3728813559322033,2.3220338983050848,2.5087719298245608
57793,SD,2.0048661800486616,1.9935691318327977,2.1301369863013697,2.0818505338078293,2.1280623608017817,2.193688792165397,2.3626373626373622,2.2934782608695654,2.380434782608696,2.3763440860215055,2.4285714285714284,2.5408163265306123
58012,ND,2.4230769230769234,2.5095155709342563,2.5957820738137083,2.686648501362398,2.7042001787310097,2.733162830349531,2.793388429752066,2.8114754098360657,2.84,2.9112903225806455,2.9327731092436977,3.042735042735043
58042,ND,2.656957928802589,2.7278382581648524,2.8447999999999998,2.903973509933775,2.946254071661238,2.8873038516405134,2.9571428571428573,3.0000000000000004,3.1095890410958904,3.1333333333333333,3.0945945945945947,3.164383561643836
58045,ND,2.235510579576817,2.2689655172413796,2.465160075329567,2.4815175097276265,2.558095238095238,2.5415129151291516,2.6330275229357802,2.6818181818181817,2.709090909090909,2.779816513761468,2.831775700934579,2.8
58047,ND,2.9002869440459107,2.938101788170564,3.0070967741935486,3.074542897327707,3.0638029058749208,3.065426170468187,3.1597633136094676,3.1578947368421053,3.1904761904761907,3.2573099415204676,3.252808988764045,3.2765957446808507
58051,ND,2.5467289719626165,2.600583090379009,2.8,2.7996965098634297,2.837797619047619,2.9220588235294116,3.056338028169014,3.0821917808219172,3.0933333333333333,3.111111111111111,3.1733333333333333,3.1948051948051948
58054,ND,2.116076970825574,2.0819490586932448,2.2561290322580647,2.262516914749662,2.39391979301423,2.45227698066126,2.527950310559006,2.515527950310559,2.554878048780488,2.5950920245398774,2.628205128205128,2.651898734177215
58072,ND,2.032821598729486,2.0351927220493176,2.2070959264126153,2.2113237639553427,2.261627906976744,2.2939488784559208,2.407216494845361,2.417948717948718,2.4884910485933505,2.4871134020618553,2.5326086956521743,2.5817174515235455
58075,ND,2.1260837255387663,2.1279342723004695,2.2673317984139167,2.249741468459152,2.3396760092568782,2.3872847011144884,2.425373134328358,2.466019417475728,2.5218446601941746,2.5356265356265357,2.553615960099751,2.58128078817734
